date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:51	53668/53668	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:45:55%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-standard-double-5_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-standard-double-5_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:52	53319/53319	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:47:49%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-standard-double-2.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-standard-double-2.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:52	54232/54232	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:49:26%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-superior-double-2.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-superior-double-2.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:52	57950/57950	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:53:45%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-executive-double-5_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-executive-double-5_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:52	51356/51356	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:54:47%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-junior-suite-1_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-junior-suite-1_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:53	45307/45307	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2009:55:29%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-junior-suite-2.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-junior-suite-2.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:53	90735/90735	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Sep%202015%2007:35:14%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/Room_suites_IMP_suite.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/Room_suites_IMP_suite.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:54	52801/52801	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2010:29:49%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-superior-double-bad-2.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-rooms-superior-double-bad-2.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:54	86843/86843	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Sep%202015%2007:45:32%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/Rooms_IMP_05_IMP_Superior_double.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/Rooms_IMP_05_IMP_Superior_double.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:54	51083/51083	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2010:30:39%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-junior-suite-bad-1.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-junior-suite-bad-1.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/rooms/)
18:19:54	88158/88158	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2015:00:58%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-raadhuspladsen-1_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-raadhuspladsen-1_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/conference/)
18:19:55	73265/73265	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2015:01:37%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-kongens-nytorv-1.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-kongens-nytorv-1.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/conference/)
18:19:55	60143/60143	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2015:02:33%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-connecting-1_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-connecting-1_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/conference/)
18:19:55	143520/143520	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Sep%202015%2007:49:21%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/Konference_Amagertorv.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/Konference_Amagertorv.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/conference/)
18:19:55	60749/60749	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2015:03:19%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-axeltorv-1_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-axeltorv-1_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/conference/)
18:19:56	84254/84254	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2015:04:18%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-kultorvet-2_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-kultorvet-2_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/conference/)
18:19:56	71043/71043	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202017%2015:05:04%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-gammeltorv-1_01.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-imperial-hotel-konference-gammeltorv-1_01.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/conference/)
18:19:56	89353/89353	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202018%2012:28:20%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-bar-1.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-bar-1.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/restaurant/)
18:19:57	97970/97970	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202018%2012:19:45%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-L-Appetitio-1.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-L-Appetitio-1.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/restaurant/)
18:19:57	97270/97270	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202018%2012:22:27%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-morgenmadsrestaurant-2.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-morgenmadsrestaurant-2.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/restaurant/)
18:19:57	107030/107030	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202018%2012:20:49%20GMT	https://www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-morgenmadsrestaurant-1.jpg	C:/My%20Web%20Sites/Imperial%20Hotel/www.imperial-hotel-copenhagen.com/uploads/tx_templavoila/720x469-2018-09-Imperial-Hotel-morgenmadsrestaurant-1.jpg	(from https://www.imperial-hotel-copenhagen.com/the-hotel/gallery/restaurant/)
